Dataset,Proposed Project
"WHB 10X, others","The Allen Human Brain Atlas (AHBA) revolutionized neuroimaging research, enabling thousands of publications linking gene expression to brain imaging. The Allen Brain Cell (ABC) Atlas is a platform for exploring single-cell data across the mammalian brain; its adult human brain version spans 109 brain regions with higher cell-type-specific resolution than AHBA. While individual studies have attempted neuroimaging-transcriptomics analyses with ABC data, no standardized, community-validated pipeline exists, limiting broader adoption. I propose establishing this infrastructure by mapping ABC Atlas regions to neuroimaging space using the Allen Human Reference Atlas 3D parcellation (2020).
Within four hackathon days, we feasibly can: (1) validate cell-type aggregation methods and regional matching strategies with Allen Institute scientists, (2) generate proof-of-concept correlations between cell-type-specific markers (e.g., astrocyte genes) and corresponding PET tracers (astrocyte, dopamine, serotonin, GABA), and (3) develop an interactive, open-source computational workflow for community use, similar to the format of ABC Atlas GitHub tutorials. Allen Institute expert validation is the major success factor since their endorsement will establish community trust and drive adoption, replicating AHBA's transformative impact for next-generation brain mapping."
ASAP MJFF,"A potential project is to identify and validate the roles of glial cells, primarily microglia and astrocytes, and their cell–cell interactions in the progression of Parkinson’s disease (PD) using the ASAP Parkinson’s collection. A deeper understanding of glial cell states and their bidirectional interactions may reveal druggable checkpoints or gene modules that shift cells away from neurotoxic trajectories (e.g., microglia-induced A1 astrocyte conversion). Focusing on ~110,000 cells from the substantia nigra, we will analyze microglia and astrocyte populations to identify differential gene expression between individuals with no neurological disorders and those with PD or idiopathic PD. Because the data are derived from multiple individuals, we will then apply (PMID: 35863345) to identify gene programs that co-vary across patients, thereby inferring the microglia-astrocyte bidirectional interactions involved in Parkinson’s disease progression."
"Aging Mouse, ASAP MJFF, others","I propose a comparative single-cell transcriptomic project to analyze age-associated changes in mitochondrial gene expression in dopaminergic neurons from brain regions vulnerable to neurodegeneration. Using scRNA-seq data from the Cellular and Molecular Characterization of the Aged Mouse Brain and the Aging Fly Cell Atlas, I would identify conserved and species-specific mitochondrial gene signatures linked to neuronal aging. Whole-brain MERFISH data from mouse would then provide spatial context to determine whether these genes show region-specific expression patterns. Since aging is the primary risk factor for Parkinson’s disease, candidate genes would be further examined in human dopaminergic neuron clusters using single-nucleus and PolyA RNA-seq data from the ASAP Parkinson’s Collection, assessing whether their expression correlates with vulnerability across brain regions and with donor age at death and cognitive status."
"WMB 10X/MERFISH, ASAP MJFF, SEA-AD","Circulating blood proteins change dramatically in disease, yet how these signals are sensed by the brain remains poorly mapped. Circumventricular organs (CVOs) , brain regions with fenestrated capillaries , provide privileged access for blood-borne molecules. I propose integrating the pan-disease blood proteome atlas (Álvez et al., Science 2025; 5,416 proteins across 59 diseases) with ABC Atlas datasets to identify brain cell types that may sense disease-associated circulating proteins. Using the mouse whole-brain scRNA-seq taxonomy, I will identify cell types expressing cognate receptors for disease-elevated blood proteins. MERFISH spatial data will localize these receptor-expressing cells, with emphasis on CVO-adjacent regions. Protein size and BBB-permeability filtering will constrain biologically plausible interactions. Finally, cross-referencing with the human brain transcriptomic atlas and SEA-AD/ASAP collections will assess conservation and disease relevance of these putative brain-body signalling axes."
WMB 10X/MERFISH,"Spatial and targeted assays are often limited to a few hundred genes, making it unclear how many (and which) genes are needed to reliably recover the ABC Atlas cell-type taxonomy in a given brain region. Using the ABC mouse whole-brain scRNA-seq taxonomy as ground truth and optionally validating with MERFISH, we will simulate reduced panels (e.g., 25/50/100/200 genes) and quantify how well cells can be classified into class/subclass within and across regions. We will use simple, interpretable feature selection (marker stability, mutual information, cross-region robustness) to identify compact panels that generalize beyond a single area. The deliverable will be a reproducible Python notebook that outputs performance curves, confusion matrices, and a recommended “minimal panel” per region or broad class—useful for designing targeted spatial/FISH experiments and benchmarking mapping workflows."
"WMB 10X/MERFISH, others","Interneurons in the basolateral amygdala are classified by canonical markers (PV, SST, VIP), yet transcriptomic atlases show molecular heterogeneity within these classes. I propose leveraging the Allen mouse WBCT and ABC atlas datasets to derive ""molecular-connectivity motifs"" that link transcriptional identity to circuit embedding. 1) resolve interneuron subclusters using WBCT atlas and MERFISH datasets. 2) analyze gene programs related to synaptic function, neuromodulation receptor, intrinsic excitability, and lineage markers. 3) integrate with connectivity resources to infer projection-weighted input/outputs. The goal would be to determine whether transcriptional identity can predict engagement in long-range coritco amygdalar or thalamo-amygdalar pathways, or other local microcircuit motifs."
SEA-AD,"The SEA-AD dataset, spanning 2.7 million cells across two brain regions (DLPFC and MTG) from 84 donors, will be used to identify cell types associated with cognitive resilience and vulnerability in Alzheimer’s disease. Based on published criteria, I have identified 41 resilient AD (AsymAD) and 24 AD cases matched for neuropathology but differing in cognitive status. AsymAD individuals offer a unique opportunity to uncover protective cellular programs despite the presence of plaques and tangles. Differential gene expression analysis across major brain cell types will be used to identify DEGs and pathways distinguishing AsymAD from AD. Region-wise comparisons will assess whether these signatures are conserved or region-specific. In parallel, sex-based differences will be examined to explore how resilience manifests across males and females. The results will provide cell-type–resolved sex specific insights into resilience and vulnerability, supporting the development of new therapeutic strategies beyond traditional amyloid and tau targets."
WMB 10X/MERFISH,"I propose applying a multi-scale foundation model framework to improve cell type prediction in the Mouse Whole-Brain MERFISH dataset combined with the paired scRNA-seq reference atlas. At gene scale, I will apply domain adaptation a pretrained single-cell encoder (e.g., Geneformer) to brain spatial transcriptomics by continual pretraining on the scRNA-seq atlas. At micro scale, I will construct spatial neighborhood features, local cell type composition among k-nearest neighbors, pairwise proximity between neuronal and glial subtypes, and apply an SE(2) Transformer to capture rotationally invariant cell-cell interactions. At macro scale, I will incorporate anatomical region and layer context from CCF v3 registration as structural priors. A contrastive alignment will be applied to project multi-scale MERFISH spatial embeddings and scRNA-seq transcriptomic embeddings into a shared latent space, enabling cross-modal cell type label transfer. This approach addresses the challenge that MERFISH's limited gene panel often cannot resolve fine-grained cluster level, and I will evaluate whether multi scale spatial context enhance this prediction at the supertype and cluster level of ABC taxonomy"
"WMB 10X, WHB 10X","What? Examine regional heterogeneity of vascular cells

Why? In contrast to neuronal subclasses, vascular cells appear broadly distributed across all brain regions (Fig. 6a in Yao et al., 2023). However, potential functional differences of vascular cells between regions were only briefly explored by Yao et al. (Figs. 4d, S14) and not addressed by Siletti et al. (2023). Existing region-specific studies of vascular cells, such as Bryant et al. (2023), are restricted to selected regions and lack integrated spatial transcriptomic data. As a result, vascular regional heterogeneity remains poorly characterized, despite its likely relevance for region-specific vulnerability to cerebrovascular disease.

How? Identify and functionally characterize region-specific vascular subclusters; separate regional programs from canonical arterial/capillary/venous subtypes (see also Vanlandewijck et al., 2018); identify mouse-derived clusters that are conserved in humans, and those that are unique to humans; extend analysis from individual vascular cells to region-specific vascular cellular neighborhoods."
WMB 10X/MERFISH,"A potential project I would be interested in pursuing is the integration of single-cell and spatial transcriptomic data from the ABC Atlas to study how gene regulatory programs vary across spatially defined cell types and states. Specifically, I would explore how spatial context influences inferred gene regulatory networks by comparing networks learned from dissociated single-cell data with those from spatially resolved transcriptomics. Using graph-based and probabilistic modeling approaches, I would examine whether incorporating spatial proximity and neighborhood information improves the stability and biological plausibility of regulatory interactions. This project could help clarify how cell type definitions derived from transcriptomic similarity relate to spatial organization in tissue. This could provide insights into context-dependent regulation and inform better computational definitions of cell types that bridge single-cell and spatial modalities."
