Acronym,Dataset Name,Associated Papers,Webinar,Data Link,ABC Atlas Viewer Link
WMB 10X (Zeng),Mouse whole-brain transcriptomic cell type atlas,https://www.nature.com/articles/s41586-023-06812-z,https://www.youtube.com/watch?v=l5NHSLk6O-A,https://alleninstitute.github.io/abc_atlas_access/descriptions/WMB_dataset.html ,https://tinyurl.com/4v2s6mfy
WMB MERFISH (Zeng),Mouse whole-brain transcriptomic cell type atlas,https://www.nature.com/articles/s41586-023-06812-z ,https://www.youtube.com/watch?v=l5NHSLk6O-A,https://alleninstitute.github.io/abc_atlas_access/descriptions/WMB_dataset.html ,https://tinyurl.com/3h63h95h
WMB MERFISH (Zhuang),A molecularly defined and spatially resolved cell atlas of the whole mouse brain,https://www.nature.com/articles/s41586-023-06808-9 ,https://www.youtube.com/watch?v=l5NHSLk6O-A,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zhuang_dataset.html ,https://tinyurl.com/bdests34
"Consensus WMB 10X (Macosko, Zeng)",Consensus Whole Mouse Brain dataset,"https://www.nature.com/articles/s41586-023-06812-z , https://www.nature.com/articles/s41586-023-06818-7  ",https://www.youtube.com/watch?v=l5NHSLk6O-A,https://alleninstitute.github.io/abc_atlas_access/descriptions/Consensus-WMB-dataset.html ,N/A
AgingMouse 10X,Aging Mouse dataset,https://www.nature.com/articles/s41586-024-08350-8 ,https://www.youtube.com/watch?v=qFqiguBUFd0,https://alleninstitute.github.io/abc_atlas_access/descriptions/Zeng_Aging_Mouse_dataset.html ,https://tinyurl.com/yvx8sjb6
DevMouse 10X,Developing Mouse - Visual Cortex,https://www.nature.com/articles/s41586-025-09644-1,https://www.youtube.com/watch?v=Zlkseq50S9M,https://alleninstitute.github.io/abc_atlas_access/descriptions/Dev-Mouse-Vis-Cortex-dataset.html,N/A
WHB 10X (Siletti),Human whole-brain transcriptomic cell type atlas,https://www.science.org/doi/10.1126/science.add7046 ,https://www.youtube.com/watch?v=BTepiBgdsls,https://alleninstitute.github.io/abc_atlas_access/descriptions/WHB_dataset.html ,https://tinyurl.com/mr33bre9
SEA-AD 10X,Seattle Alzheimer's Disease Brain Cell Atlas,https://www.nature.com/articles/s41593-024-01774-5,https://www.youtube.com/watch?v=lcS3o1N22Bc,https://registry.opendata.aws/allen-sea-ad-atlas/,https://tinyurl.com/ytrn28yd
SEA-AD MERFISH,Seattle Alzheimer's Disease Brain Cell Atlas,https://www.nature.com/articles/s41593-024-01774-5,https://www.youtube.com/watch?v=lcS3o1N22Bc,https://registry.opendata.aws/allen-sea-ad-atlas/,https://tinyurl.com/4jtxhm7m
ASAP MJFF,ASAP Human Postmortem-Derived Brain Sequencing Collection ,N/A,N/A,https://alleninstitute.github.io/abc_atlas_access/descriptions/ASAP-PMDBS_dataset.html ,https://tinyurl.com/354se7dh
HMBA BG 10X Aligned,Human-Mammalian Brain Atlas – Basal Ganglia,https://www.biorxiv.org/content/10.64898/2025.12.15.694496v1 ,https://www.youtube.com/watch?v=nlZ0gp0eshc,https://alleninstitute.github.io/abc_atlas_access/descriptions/HMBA-BG_dataset.html ,https://tinyurl.com/y8pn6sn4
HMBA BG Human MERFISH,Human-Mammalian Brain Atlas – Basal Ganglia,https://www.biorxiv.org/content/10.1101/2025.11.22.688128v1.full ,https://www.youtube.com/watch?v=nlZ0gp0eshc,https://alleninstitute.github.io/abc_atlas_access/descriptions/HMBA-BG_dataset.html ,https://tinyurl.com/2wpke98c
HMBA BG Macaque MERFISH,Human-Mammalian Brain Atlas – Basal Ganglia,https://www.biorxiv.org/content/10.1101/2025.11.22.688128v1.full ,https://www.youtube.com/watch?v=nlZ0gp0eshc,https://alleninstitute.github.io/abc_atlas_access/descriptions/HMBA-BG_dataset.html ,https://tinyurl.com/mwj3wh7w
HMBA BG Marmoset Xenium,Human-Mammalian Brain Atlas – Basal Ganglia,https://www.biorxiv.org/content/10.1101/2025.11.22.688128v1.full ,https://www.youtube.com/watch?v=nlZ0gp0eshc,https://alleninstitute.github.io/abc_atlas_access/descriptions/HMBA-BG_dataset.html ,https://tinyurl.com/2uyvuw86
,,,,,
,,,,,
,,,,,
