Term,DOI,,,,
5Ht3aR (serotonin receptor 3A) cell,10.1523/JNEUROSCI.1869-10.2010,,,,
RS (regular spiking) cell,10.1371/journal.pone.0164004,,,,
LTS (low threshold spiking) cell,10.1113/jphysiol.2004.064519,,,,
VIP (vasoactive intestinal peptide) cell,10.3389/fncel.2022.811484,,,,
Thin/slender-tufted L5 cell,10.1523/JNEUROSCI.10-05-01407.1990,,,,
Oriens-lacunosum moleculare cell,10.3389/fncel.2015.00201,,,,
L4 IT (intratelencephalic) type cell,10.1007/s00424-024-02923-2,,,,
Bipolar cell,10.1016/0306-4522(84)90002-2,,,,
Basket cell,10.1016/j.neuron.2018.10.009,,,,
CStr (corticostriatal) cell,10.1038/nrn3469,,,,
Double bouquet cell,10.1126/science.adf6484,,,,
IT (intratelencephalic) type cell,10.1002/cne.10541,,,,
Id2 (Inhibitor of DNA binding 2) cell,10.7554/eLife.85893,,,,
Principal cell,10.1016/j.ibror.2018.10.001,,,,
FS (fast spiking) cell,10.1152/jn.1993.70.1.387,,,,
ET (extratelencephalic) type cell,10.1093/cercor/bhx012,,,,
Sst/SOM (somatostatin) cell,10.1038/nrn.2016.53,,,,
Thick-tufted L5 cell,10.1523/JNEUROSCI.10-05-01407.1990,,,,
Sncg (gamma synuclein) cell,10.1016/j.cell.2021.04.021,,,,
Pyramidal cell,10.1038/nrn2286,,,,
CT (corticothalamic) cell,10.1523/JNEUROSCI.17-16-06365.1997,,,,
GABAergic cell,10.1016/j.neuron.2016.06.033,,,,
CCS (crossed-cortical striatal) cells,https://doi.org/10.1152/jn.00778.2018,,,,
Spiny stellate cell,10.1093/cercor/bhh029,https://doi.org/10.1016/0166-2236(90)90185-D,,,10.1002/cne.902300111
PT (pyramidal tract) type cell,10.1002/cne.10541,,,,
Neurogliaform cell,10.7554/eLife.85893,,,,
Slow-spiking cell,10.1016/j.neuron.2008.01.034,,,,
Glutamatergic cell,10.1111/j.1471-4159.1984.tb09689.x,,,,
Chandelier cell,10.1073/pnas.86.6.2093,,,,
Lamp5 (Lysosomal Associated Membrane Protein Family Member 5) cell,10.1016/j.cell.2021.04.021,,,,
CPn (corticopontine) cell,doi.org/10.1152/jn.00778.2018,,,,
Excitatory cell,10.3389/fnana.2018.00001,,,,
PV/Pvalb (parvalbumin) cell,10.1093/cercor/7.6.476,,,,
Martinotti cell,10.1002/cne.903290408,,,,
IB (intrinsically bursting)/bursting cell,10.1523/JNEUROSCI.10-05-01415.1990,,,,
non-Martinotti cell,10.1523/JNEUROSCI.2415-17.2017,,,,
Inhibitory cell,10.3389/fnmol.2019.00168,,,,
Ivy cell,10.3389/fncir.2012.00023,,,,
